,precision,recall,f1-score,support
非抑郁倾向,0.9747762408462164,0.9584,0.9665187575635337,1250.0
抑郁倾向,0.959087332808812,0.9752,0.9670765569218565,1250.0
accuracy,0.9668,0.9668,0.9668,0.9668
macro avg,0.9669317868275142,0.9668,0.9667976572426951,2500.0
weighted avg,0.9669317868275142,0.9668,0.9667976572426951,2500.0
