,precision,recall,f1-score,support
非抑郁倾向,0.9918166939443536,0.9696,0.9805825242718447,1250.0
抑郁倾向,0.9702660406885759,0.992,0.9810126582278481,1250.0
accuracy,0.9808,0.9808,0.9808,0.9808
macro avg,0.9810413673164647,0.9808,0.9807975912498463,2500.0
weighted avg,0.9810413673164646,0.9808,0.9807975912498463,2500.0
