,precision,recall,f1-score,support
非抑郁倾向,0.9790660225442834,0.9728,0.9759229534510433,1250.0
抑郁倾向,0.972972972972973,0.9792,0.9760765550239234,1250.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.9760194977586283,0.976,0.9759997542374834,2500.0
weighted avg,0.9760194977586282,0.976,0.9759997542374833,2500.0
